name,department,reason
"Levi's Men's Regular Fit T-Shirt","fashion","Duplicate product title fingerprint"
"U.S. POLO ASSN. Men's Regular Fit T-Shirt","fashion","Duplicate product title fingerprint"
"Amazon Brand - Symbol Men's Regular Fit T-Shirt","fashion","Duplicate product title fingerprint"
"Van Heusen Men's Regular Fit Polo Shirt","fashion","Duplicate product title fingerprint"
"Veirdo Men Loose Fit T-Shirt","fashion","Duplicate product title fingerprint"
"U.S. POLO ASSN. Men's Regular T-Shirt","fashion","Duplicate product title fingerprint"
"Reebok Men's Regular Fit Polo Shirt","fashion","Duplicate product title fingerprint"
"Levi's Men's Regular Fit T-Shirt","fashion","Duplicate product title fingerprint"
"LEOTUDE Men's Oversized Cottonblend Round Neck T-Shirt(Color: Brown)","fashion","Duplicate product title fingerprint"
"Puma Men's Regular Fit T-Shirt","fashion","Duplicate product title fingerprint"
"Levi's Men's Regular Fit T-Shirt","fashion","Duplicate product title fingerprint"
"Levi's Men's 026 V-Neck Cotton T-Shirt with Smartskin Technology (Pack of 2)","fashion","Duplicate product title fingerprint"
"Levi's Men T-Shirt","fashion","Duplicate product title fingerprint"
"U.S. POLO ASSN. Men Men's T-Shirts & Polos","fashion","Duplicate product title fingerprint"
"Levi's Men T-Shirt","fashion","Duplicate product title fingerprint"
"Jack & Jones Men's Slim T-Shirt","fashion","Duplicate product title fingerprint"
"Jack & Jones Men's Slim T-Shirt","fashion","Duplicate product title fingerprint"
"U.S. POLO ASSN. Men's Regular T-Shirt","fashion","Duplicate product title fingerprint"
"U.S. POLO ASSN. Men Men's T-Shirts & Polos","fashion","Duplicate product title fingerprint"
"Wrangler Men's Slim Fit T-Shirt","fashion","Duplicate product title fingerprint"
"Bigbanana Plus Size Men's Regular Fit Polo","fashion","Duplicate product title fingerprint"
"LEOTUDE Men's Regular Fit Half Sleeve Matty Polo T-Shirt (Color Navy Maroon)","fashion","Duplicate product title fingerprint"
"fanideaz Men’s Cotton Half Sleeve Striped Polo T-Shirts","fashion","Duplicate product title fingerprint"
"Elk Unisex T-Shirt","fashion","Duplicate ASIN"
"EYEBOGLER Men's Regular Fit T-Shirt","fashion","Duplicate product title fingerprint"
"Jack & Jones Men's Slim Fit Shirt","fashion","Duplicate product title fingerprint"
"EYEBOGLER Men's Regular Fit T-Shirt","fashion","Duplicate product title fingerprint"
"Levi's Men T-Shirt","fashion","Duplicate product title fingerprint"
"Arrow Sports Solid Half Sleeve Polo T-Shirt Navy","fashion","Missing both actual and discount prices"
"Levi's Men T-Shirt","fashion","Duplicate product title fingerprint"
"Tfortees Black Cotton Printed Tshirt","fashion","Duplicate product title fingerprint"
"U.S. POLO ASSN. Men T-Shirt","fashion","Missing both actual and discount prices"
"U.S. POLO ASSN. Men Men's T-Shirts & Polos","fashion","Duplicate product title fingerprint"
